id,name,host_id,latitude,longitude,room_type,minimum_nights,number_of_reviews,last_review,availability_365,number_of_reviews_ltm,neighbourhood_cleansed,host_response_time,host_response_rate,host_is_superhost,host_identity_verified,accommodates,review_scores_rating,review_scores_cleanliness,review_scores_location,review_scores_accuracy,review_scores_communication,review_scores_checkin,review_scores_value,property_type,host_acceptance_rate,maximum_nights,listing_url,region,distance_to_cristo_redentor,distance_to_pan_de_azucar,distance_to_copacabana_beach,distance_to_ipanema_beach,distance_to_botanical_garden
1031146252272367600,Sua casa na Zona Sul!,388665846,-22.93124066726825,-43.18882931023836,0,2,1,2024-02-14,226,1,71,3,92.30391864868317,0,1,10,5.0,5.0,5.0,5.0,5.0,5.0,5.0,13,99,10,https://www.airbnb.com/rooms/1031146252272367600,98,3.193978651852886,3.9388391128028464,4.483839603900882,6.071307666494596,5.766624860432192
1050060647508016537,Excelente 2 quartos no Leblon,174047648,-22.9849043,-43.2282326,0,3,7,2024-04-29,222,7,72,3,100.0,0,1,5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,16,90,30,https://www.airbnb.com/rooms/1050060647508016537,101,4.094406214341747,8.488274644705564,4.95615142270913,2.432010725520386,1.9489100576006508
2361521,The CARIOCA NEW DESIGN,4284876,-22.98341,-43.20398,0,2,188,2024-05-06,200,20,60,3,100.0,0,1,4,4.38,4.28,4.96,4.53,4.61,4.77,4.44,16,89,28,https://www.airbnb.com/rooms/2361521,20,3.5667764930021217,6.310454448435973,2.616318232768149,0.0761725512605333,3.1361326805931498
774841969286294856,Apartamento Condominio Midas.,119112431,-22.97307,-43.41331,0,2,1,2023-01-19,291,0,63,3,92.30391864868317,0,1,2,5.0,5.0,5.0,5.0,5.0,5.0,5.0,16,0,365,https://www.airbnb.com/rooms/774841969286294856,5,20.89751172299337,26.556186304368108,23.661306893362354,21.41017307082413,18.85938532772749
9997393,Arcos da Lapa/Glória - Apto Studio,25736518,-22.91799,-43.17705,0,2,9,2024-02-14,177,5,49,3,92.30391864868317,0,1,4,5.0,5.0,4.78,5.0,5.0,5.0,5.0,16,70,1125,https://www.airbnb.com/rooms/9997393,24,5.094239465515863,4.067684984918408,5.929069337949779,7.849346203618017,7.661751283050608
3292973,"Superb location in Copacabana beach, posto 6",3570280,-22.98425,-43.19214,0,3,140,2024-06-01,110,38,29,2,100.0,1,1,2,4.78,4.64,4.96,4.75,4.89,4.92,4.81,16,99,1125,https://www.airbnb.com/rooms/3292973,81,4.0586714028486,5.471744071145934,1.7814457312527667,1.2658630035482572,4.231404713188214
657990672822883147,"Encanto / Rock in Rio, Rio Centro, Praia",67189647,-22.96644,-43.39781,0,2,60,2024-06-03,172,24,63,3,100.0,1,1,4,4.97,4.92,4.75,4.95,5.0,4.93,4.87,9,70,1125,https://www.airbnb.com/rooms/657990672822883147,92,19.246052620694694,24.90917761410321,22.08007569055965,19.88500430777775,17.262735849304708
6449910,Quarto com cama de casal,13110677,-22.96872,-43.18812,2,2,1,2024-02-10,269,1,29,2,100.0,0,0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,41,66,365,https://www.airbnb.com/rooms/6449910,51,2.95778678808806,4.036972267094299,0.6613394372304414,2.379300203889952,4.208323352736164
47949526,BRAND NEW CLIMATIZED APARTMENT WITH SUITE +2 BATHS,10406037,-22.96819,-43.18389,0,1,144,2024-06-24,286,54,29,3,100.0,0,1,6,4.76,4.73,4.89,4.81,4.6,4.64,4.65,16,98,89,https://www.airbnb.com/rooms/47949526,67,3.2716801472960504,3.6488112926808034,0.3669310525657474,2.739224010661496,4.639670310644563
822988961844788585,Aconchego em Laranjeiras,165428948,-22.93149036821405,-43.18849744754351,0,2,1,2023-02-23,83,0,71,3,92.30391864868317,0,0,4,5.0,5.0,5.0,5.0,5.0,5.0,5.0,16,99,7,https://www.airbnb.com/rooms/822988961844788585,98,3.1979164422499946,3.895614218283384,4.45134684817101,6.0536414065433535,5.771785994288913
